elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6491166,Bakı,Opel,Astra,1998,Universal,Yaşıl,1.6 L,101 a.g.,Benzin,250 000 km,Mexaniki,Ön,Xeyr,8 200 AZN
6556253,Bakı,LADA (VAZ),Priora,2017,Sedan,Ağ,1.6 L,98 a.g.,Benzin,87 000 km,Mexaniki,Ön,Xeyr,16 500 AZN
6532480,Bakı,BMW,530,2017,Sedan,Qara,2.0 L,249 a.g.,Benzin,87 500 km,Avtomat,Arxa,Xeyr,42 900 $
6599837,Bakı,Toyota,Corolla,2006,Universal,Boz,1.4 L,90 a.g.,Dizel,217 450 km,Mexaniki,Ön,Xeyr,12 600 AZN
6569257,Bakı,LADA (VAZ),Niva,1998,Offroader / SUV,Ağ,1.7 L,80 a.g.,Benzin,180 000 km,Mexaniki,Tam,Xeyr,4 750 AZN
6599834,Sumqayıt,Mercedes,E 280,1999,Sedan,Gümüşü,2.8 L,204 a.g.,Benzin,323 546 km,Avtomat,Arxa,Xeyr,11 200 AZN
6596582,Şəmkir,Hyundai,Sonata,2014,Sedan,Qara,2.4 L,198 a.g.,Benzin,170 000 km,Avtomat,Ön,Xeyr,21 800 AZN
6599833,Bakı,BMW,528,2013,Sedan,Yaş Asfalt,2.0 L,245 a.g.,Benzin,136 000 km,Avtomat,Arxa,Xeyr,31 000 AZN
6548894,Bakı,Mercedes,GLK 220,2010,Offroader / SUV,Ağ,2.2 L,143 a.g.,Dizel,313 600 km,Avtomat,Ön,Xeyr,16 800 $
6599829,Bakı,Chevrolet,Cruze,2016,Sedan,Qara,1.4 L,153 a.g.,Benzin,120 000 km,Avtomat,Ön,Xeyr,17 000 AZN
6491466,Mingəçevir,Mercedes,E 320,2002,Sedan,Gümüşü,3.2 L,224 a.g.,Benzin,274 280 km,Avtomat,Arxa,Xeyr,17 800 AZN
6599827,Bakı,Mitsubishi,L 200,2014,Pikap,Ağ,2.5 L,178 a.g.,Dizel,161 555 km,Mexaniki,Tam,Xeyr,30 800 AZN
6599765,Gəncə,LADA (VAZ),2115,2012,Sedan,Qara,1.6 L,98 a.g.,Benzin,143 000 km,Mexaniki,Ön,Xeyr,9 700 AZN
6599802,Bakı,Kia,Optima,2016,Sedan,Ağ,1.7 L,141 a.g.,Dizel,196 000 km,Avtomat,Ön,Xeyr,27 700 AZN
6599826,Qazax,LADA (VAZ),2106,1990,Sedan,Ağ,1.6 L,75 a.g.,Benzin,11 200 km,Mexaniki,Arxa,Xeyr,3 200 AZN
6599821,Bakı,Opel,Astra,2006,Universal,Gümüşü,1.3 L,90 a.g.,Dizel,100 000 km,Mexaniki,Ön,Xeyr,9 000 AZN
6599819,Bakı,Volkswagen,Passat,2004,Sedan,Göy,1.8 L,170 a.g.,Benzin,235 000 km,Avtomat,Ön,Xeyr,7 800 AZN
6598790,Bakı,Chevrolet,Equinox,2019,Universal,Yaş Asfalt,1.5 L,170 a.g.,Benzin,43 812 km,Avtomat,Ön,Xeyr,30 800 AZN
6598790,Bakı,Chevrolet,Equinox,2019,Universal,Yaş Asfalt,1.5 L,170 a.g.,Benzin,43 812 km,Avtomat,Ön,Xeyr,30 800 AZN
5819287,Sumqayıt,Mercedes,E 220,1994,Sedan,Boz,2.2 L,150 a.g.,Benzin,318 000 km,Avtomat,Arxa,Xeyr,9 500 AZN
6599817,Bakı,Opel,Astra,2010,Hetçbek / Liftbek,Qara,1.4 L,90 a.g.,Benzin,109 243 km,Mexaniki,Ön,Xeyr,13 700 AZN
6150726,Gəncə,Land Rover,Freelander,2003,Offroader / SUV,Boz,2.5 L,177 a.g.,Benzin,182 001 km,Avtomat,Tam,Xeyr,10 002 AZN
6599816,Gəncə,Mercedes,C 180,1999,Universal,Qara,1.8 L,122 a.g.,Benzin,511 000 km,Mexaniki,Arxa,Xeyr,7 800 AZN
6599811,Bakı,LADA (VAZ),21099,1992,Sedan,Göy,1.5 L,75 a.g.,Benzin,253 880 km,Mexaniki,Ön,Xeyr,3 200 AZN
6599815,Gəncə,LADA (VAZ),Niva,2015,Offroader / SUV,Ağ,1.7 L,80 a.g.,Benzin,65 000 km,Mexaniki,Tam,Xeyr,11 500 AZN
6409077,Bakı,BMW,X5,2020,Offroader / SUV,Qara,3.0 L,340 a.g.,Benzin,19 400 km,Avtomat,Tam,Xeyr,85 000 $
6599814,Bərdə,LADA (VAZ),2107,1992,Sedan,Qırmızı,1.5 L,65 a.g.,Benzin,330 210 km,Mexaniki,Arxa,Xeyr,2 400 AZN
6599813,Gəncə,LADA (VAZ),2107,2006,Sedan,Ağ,1.6 L,75 a.g.,Benzin,24 345 km,Mexaniki,Arxa,Xeyr,5 600 AZN
6575579,Bakı,Kia,Rio,2005,Hetçbek / Liftbek,Göy,1.5 L,109 a.g.,Dizel,211 111 km,Mexaniki,Ön,Xeyr,10 800 AZN
6599810,Sumqayıt,Opel,Astra,1999,Hetçbek / Liftbek,Qırmızı,1.8 L,116 a.g.,Benzin,367 000 km,Avtomat,Arxa,Xeyr,8 700 AZN
6599809,Bakı,LADA (VAZ),2106,1993,Sedan,Ağ,1.5 L,65 a.g.,Benzin,132 430 km,Mexaniki,Arxa,Xeyr,3 000 AZN
6599771,Bakı,Kia,Optima,2012,Sedan,Göy,2.0 L,274 a.g.,Benzin,200 180 km,Avtomat,Ön,Xeyr,22 100 AZN
6502017,Yevlax,Mercedes,E 220,1996,Sedan,Qara,2.2 L,143 a.g.,Dizel,600 000 km,Mexaniki,Arxa,Xeyr,8 500 AZN
6531247,Quba,LADA (VAZ),Niva,2014,Offroader / SUV,Göy,1.7 L,80 a.g.,Benzin,120 101 km,Mexaniki,Tam,Xeyr,10 900 AZN
6599808,Bakı,Kia,Sorento,2015,Offroader / SUV,Ağ,2.0 L,184 a.g.,Dizel,135 400 km,Avtomat,Ön,Xeyr,45 400 AZN
6599807,Bakı,Daewoo,Nexia,2011,Sedan,Gümüşü,1.5 L,80 a.g.,Benzin,470 000 km,Mexaniki,Ön,Xeyr,6 300 AZN
6599767,Bakı,Chevrolet,Malibu,2016,Sedan,Yaş Asfalt,1.5 L,160 a.g.,Benzin,52 000 km,Avtomat,Ön,Xeyr,22 500 AZN
6599804,Şirvan,Mercedes,E 200,1998,Sedan,Qara,2.0 L,136 a.g.,Benzin,260 000 km,Avtomat,Arxa,Xeyr,11 500 AZN
6578352,Bakı,Lexus,GX 460,2013,Offroader / SUV,Qara,4.6 L,296 a.g.,Benzin,165 000 km,Avtomat,Tam,Xeyr,42 700 $
6599805,Bakı,Mercedes,E 230,1996,Sedan,Yaşıl,2.3 L,150 a.g.,Benzin,360 500 km,Avtomat,Arxa,Xeyr,9 700 AZN
6566102,Sumqayıt,LADA (VAZ),2109,1993,Hetçbek / Liftbek,Ağ,1.5 L,65 a.g.,Benzin,400 000 km,Mexaniki,Ön,Xeyr,3 800 AZN
6599803,Sumqayıt,Hyundai,Santa Fe,2011,Offroader / SUV,Ağ,2.0 L,184 a.g.,Dizel,105 000 km,Avtomat,Tam,Xeyr,24 700 AZN
6473038,Bakı,Hyundai,Santa Fe,2013,Offroader / SUV,Qara,2.0 L,274 a.g.,Benzin,86 000 km,Avtomat,Tam,Xeyr,32 000 AZN
6599801,Bakı,Mercedes,ML 350,2007,Offroader / SUV,Boz,3.5 L,272 a.g.,Benzin,235 000 km,Avtomat,Arxa,Xeyr,21 000 AZN
6599799,Bakı,Tofas,Sahin,2001,Sedan,Boz,1.6 L,86 a.g.,Benzin,850 000 km,Mexaniki,Arxa,Xeyr,6 500 AZN
6566131,Bakı,BMW,528,2015,Sedan,Yaş Asfalt,2.0 L,245 a.g.,Benzin,170 000 km,Avtomat,Tam,Xeyr,22 500 $
6599795,Sumqayıt,Opel,Astra,2002,Universal,Qara,2.0 L,101 a.g.,Dizel,246 564 km,Mexaniki,Ön,Xeyr,7 200 AZN
6582066,Bakı,Lexus,LX 600,2022,Offroader / SUV,Qara,3.5 L,420 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,267 000 $
6414960,Bakı,Mercedes,E 300,2017,Sedan,Qara,2.0 L,245 a.g.,Benzin,110 000 km,Avtomat,Tam,Xeyr,37 500 $
6599792,Bakı,Chevrolet,Aveo,2012,Hetçbek / Liftbek,Ağ,1.4 L,101 a.g.,Benzin,86 000 km,Avtomat,Ön,Xeyr,13 500 AZN
6599786,Sumqayıt,Hyundai,Santa Fe,2010,Offroader / SUV,Gümüşü,2.0 L,184 a.g.,Dizel,133 000 km,Avtomat,Tam,Xeyr,24 500 AZN
6599780,Ağdam,LADA (VAZ),2106,1990,Sedan,Qızılı,1.5 L,65 a.g.,Benzin,26 300 km,Mexaniki,Arxa,Xeyr,3 000 AZN
6599785,Bakı,Mercedes,C 200,2000,Sedan,Qara,2.0 L,136 a.g.,Benzin,353 000 km,Avtomat,Arxa,Xeyr,8 800 AZN
6424048,Bakı,Toyota,Camry,2014,Sedan,Ağ,3.5 L,272 a.g.,Benzin,80 000 km,Avtomat,Ön,Xeyr,23 500 $
6599783,Bakı,Nissan,Sunny,2008,Sedan,Ağ,1.6 L,107 a.g.,Benzin,280 000 km,Avtomat,Ön,Xeyr,12 600 AZN
6599781,Bakı,BMW,320,2006,Sedan,Qara,2.0 L,163 a.g.,Dizel,278 222 km,Mexaniki,Arxa,Xeyr,19 500 AZN
6496053,Bakı,Kia,Rio,2008,Sedan,Qara,1.4 L,97 a.g.,Benzin,328 000 km,Mexaniki,Ön,Xeyr,9 200 AZN
6565408,Bakı,Toyota,Prado,2008,Offroader / SUV,Qara,4.0 L,249 a.g.,Benzin,162 250 km,Avtomat,Tam,Xeyr,23 300 $
6592440,Bakı,Kia,Soul,2015,Hetçbek / Liftbek,Ağ,1.6 L,132 a.g.,Benzin,123 500 km,Avtomat,Ön,Xeyr,21 800 AZN
6599778,Ağstafa,LADA (VAZ),2107,2005,Sedan,Ağ,1.6 L,75 a.g.,Benzin,145 555 km,Mexaniki,Arxa,Xeyr,4 400 AZN
6587759,Bakı,Toyota,Corolla,2006,Hetçbek / Liftbek,Göy,1.4 L,90 a.g.,Dizel,164 000 km,Robotlaşdırılmış,Ön,Xeyr,11 800 AZN
6599777,Bakı,Mercedes,E 220,1993,Sedan,Göy,2.2 L,150 a.g.,Dizel,250 000 km,Mexaniki,Arxa,Xeyr,8 000 AZN
6599048,Xaçmaz,LADA (VAZ),2110,2007,Sedan,Qara,1.6 L,75 a.g.,Benzin,150 000 km,Mexaniki,Arxa,Xeyr,7 800 AZN
6599774,Bakı,Opel,Astra,2006,Hetçbek / Liftbek,Boz,1.3 L,90 a.g.,Dizel,182 000 km,Mexaniki,Ön,Xeyr,12 400 AZN
6599770,Bakı,Kia,Optima,2018,Sedan,Göy,2.0 L,245 a.g.,Benzin,21 200 km,Avtomat,Ön,Xeyr,31 300 AZN
6580538,Bakı,Mercedes,B 170,2007,Hetçbek / Liftbek,Gümüşü,1.7 L,116 a.g.,Benzin,130 000 km,Avtomat,Ön,Xeyr,12 000 AZN
6599768,İsmayıllı,UAZ,Patriot,2004,Offroader / SUV,Yaşıl,2.5 L,122 a.g.,Benzin,123 000 km,Mexaniki,Tam,Xeyr,7 400 AZN
6582476,Bakı,LADA (VAZ),Niva,2020,Offroader / SUV,Qara,1.7 L,80 a.g.,Benzin,28 000 km,Mexaniki,Tam,Xeyr,18 800 AZN
6599763,Bakı,Hyundai,Sonata,2009,Sedan,Ağ,2.4 L,174 a.g.,Benzin,256 000 km,Avtomat,Ön,Xeyr,17 300 AZN
6599766,Sumqayıt,LADA (VAZ),2106,1990,Sedan,Bej,1.5 L,65 a.g.,Benzin,215 425 km,Mexaniki,Arxa,Xeyr,3 800 AZN
6174207,Bakı,BMW,650,2014,Sedan,Qara,4.4 L,450 a.g.,Benzin,51 000 km,Avtomat,Tam,Xeyr,45 500 $
6599761,Bakı,LADA (VAZ),Oka,2005,Hetçbek / Liftbek,Ağ,0.8 L,35 a.g.,Benzin,34 018 km,Mexaniki,Ön,Xeyr,5 800 AZN
6561994,Bakı,BMW,530,2017,Sedan,Boz,2.0 L,252 a.g.,Benzin,89 000 km,Avtomat,Arxa,Xeyr,34 800 $
6599760,Bakı,Hyundai,Santa Fe,2012,Offroader / SUV,Qara,2.4 L,181 a.g.,Benzin,168 000 km,Avtomat,Tam,Xeyr,30 700 AZN
6599758,Xaçmaz,Mercedes,C 220,1995,Sedan,Yaş Asfalt,2.2 L,150 a.g.,Benzin,298 235 km,Avtomat,Arxa,Xeyr,7 500 AZN
6599755,Bakı,Chevrolet,Cruze,2015,Sedan,Yaş Asfalt,1.4 L,153 a.g.,Benzin,179 000 km,Avtomat,Ön,Xeyr,16 200 AZN
6599756,Bakı,LADA (VAZ),Priora,2016,Sedan,Ağ,1.6 L,106 a.g.,Benzin,111 634 km,Mexaniki,Arxa,Xeyr,15 300 AZN
6599757,Sumqayıt,Nissan,Tiida,2012,Hetçbek / Liftbek,Qəhvəyi,1.5 L,109 a.g.,Benzin,33 000 km,Avtomat,Ön,Xeyr,14 400 AZN
6599212,Bakı,Nissan,Note,2012,Hetçbek / Liftbek,Mavi,1.2 L,79 a.g.,Benzin,37 000 km,Avtomat,Ön,Xeyr,12 800 AZN
6498539,Bakı,Kia,Cadenza,2013,Sedan,Ağ,3.5 L,293 a.g.,Benzin,118 000 km,Avtomat,Ön,Xeyr,23 900 $
6596716,Bakı,Opel,Astra,2005,Universal,Göy,1.4 L,90 a.g.,Benzin,170 248 km,Mexaniki,Ön,Xeyr,11 000 AZN
6590382,Bakı,Hyundai,Elantra,2012,Sedan,Boz,1.8 L,150 a.g.,Benzin,145 000 km,Avtomat,Ön,Xeyr,18 500 AZN
6508147,Bakı,LADA (VAZ),21011,1983,Sedan,Yaşıl,1.5 L,65 a.g.,Benzin,25 000 km,Mexaniki,Arxa,Xeyr,6 500 AZN
6510053,Bakı,Mercedes,C 180,1998,Sedan,Gümüşü,1.8 L,122 a.g.,Benzin,345 654 km,Mexaniki,Arxa,Xeyr,8 800 AZN
5984521,Bakı,BMW,750,2011,Sedan,Qara,4.4 L,407 a.g.,Benzin,1 800 km,Avtomat,Arxa,Xeyr,51 000 $
