elan_nomresi_list,seher,marka,model,buraxilis_ili,ban_novu,reng,muherrik,muherrik_gucu,yanacaq_novu,yurus,suretler_qutusu,oturucu,yeni,qiymet
6582127,Bakı,Hyundai,Santa Fe,2011,Offroader / SUV,Qara,2.4 L,175 a.g.,Benzin,172 000 km,Avtomat,Tam,Xeyr,25 800 AZN
6530307,Bakı,Chevrolet,Malibu,2018,Sedan,Göy,1.5 L,160 a.g.,Benzin,78 000 km,Avtomat,Ön,Xeyr,20 900 AZN
6447131,Bakı,Toyota,Camry,2015,Sedan,Göy,2.5 L,181 a.g.,Benzin,70 000 km,Avtomat,Ön,Xeyr,28 900 AZN
6490647,Bakı,Nissan,X-Trail,2012,Offroader / SUV,Qara,2.5 L,170 a.g.,Benzin,128 000 km,Avtomat,Tam,Xeyr,24 900 AZN
6484287,Bakı,Mitsubishi,Pajero,2015,Offroader / SUV,Qara,3.8 L,250 a.g.,Benzin,102 000 km,Avtomat,Tam,Xeyr,39 800 AZN
6600402,Bakı,LADA (VAZ),2107,2009,Sedan,Qara,1.6 L,76 a.g.,Benzin,80 000 km,Mexaniki,Arxa,Xeyr,5 800 AZN
6544103,Bakı,Mitsubishi,Pajero,2016,Offroader / SUV,Qara,3.8 L,250 a.g.,Benzin,142 000 km,Avtomat,Tam,Xeyr,40 500 AZN
6600470,Bakı,Nissan,March,2011,Hetçbek / Liftbek,Ağ,1.2 L,79 a.g.,Benzin,38 500 km,Avtomat,Ön,Xeyr,13 300 AZN
6600301,Bakı,Chery,Fulwin 2,2011,Sedan,Ağ,1.5 L,109 a.g.,Benzin,187 000 km,Mexaniki,Ön,Xeyr,6 500 AZN
6546511,Bakı,Hyundai,Santa Fe,2011,Offroader / SUV,Qara,2.4 L,180 a.g.,Benzin,129 000 km,Avtomat,Tam,Xeyr,24 900 AZN
6570090,Sumqayıt,Hyundai,Santa Fe,2020,Offroader / SUV,Yaş Asfalt,2.0 L,235 a.g.,Benzin,55 000 km,Avtomat,Ön,Xeyr,30 500 $
6546361,Bakı,Nissan,Maxima,2011,Sedan,Ağ,3.5 L,290 a.g.,Benzin,128 000 km,Avtomat,Ön,Xeyr,23 800 AZN
6543729,Sumqayıt,Toyota,Camry,2016,Sedan,Ağ,2.5 L,181 a.g.,Benzin,110 000 km,Avtomat,Ön,Xeyr,24 000 $
